POSTCODE,TOTAL_PATIENTS_WITH_POSTCODE_AT_DIAGNOSIS,TOTAL_PATIENTS_WITH_CURRENT_POSTCODE
0600,13,15
0602,13,17
0604,15,16
0610,9,10
0612,9,9
0614,8,9
0618,6,9
0620,6,7
0622,2,2
0624,7,7
0626,14,15
0627,7,7
0629,9,8
0630,18,19
0632,19,21
0782,0,1
0790,1,0
0793,1,2
0794,0,1
0800,4,3
0810,5,2
0812,1,2
0820,1,1
0835,1,0
0852,0,1
0853,1,0
0860,1,0
0870,1,5
0872,2,0
0873,2,2
0874,1,1
0900,2,2
0920,3,4
0930,6,7
0931,5,5
0932,13,13
0973,1,1
0984,1,1
0985,1,0
1010,1,0
1011,2,2
1021,5,6
1022,7,9
1023,10,10
1024,6,7
1025,7,8
1026,3,4
1041,14,14
1042,2,2
1050,7,6
1051,5,6
1052,1,1
1060,4,4
1061,9,10
1062,3,3
1071,8,7
1072,13,14
1081,4,4
1443,1,1
2000,5,0
2008,0,1
2010,9,10
2011,2,0
2012,6,6
2013,4,4
2014,12,11
2016,15,14
2018,9,8
2019,14,13
2021,0,2
2022,10,10
2023,17,17
2024,8,8
2025,7,10
2026,5,4
2027,0,1
2028,1,0
2029,2,2
2031,4,5
2032,1,0
2034,2,3
2035,6,6
2036,5,7
2037,1,2
2038,1,1
2039,1,0
2040,3,2
2041,2,3
2042,2,2
2045,4,4
2046,8,7
2047,3,5
2048,1,1
2049,1,1
2060,1,1
2061,1,1
2063,0,1
2064,1,1
2065,1,3
2066,5,5
2067,1,1
2068,0,1
2069,1,0
2070,2,2
2071,3,3
2072,1,1
2073,3,5
2074,6,7
2075,5,6
2076,11,8
2077,8,7
2079,3,2
2080,1,1
2082,3,3
2083,1,1
2084,2,2
2085,2,2
2086,1,0
2087,3,5
2088,8,9
2089,1,1
2092,3,4
2093,5,5
2095,3,3
2096,3,2
2097,4,4
2099,3,6
2100,5,4
2101,2,2
2102,9,12
2103,12,12
2104,1,1
2105,8,9
2106,1,2
2107,2,2
2110,10,12
2111,5,6
2112,13,11
2113,3,2
2114,8,7
2115,3,6
2116,3,3
2117,11,11
2118,4,4
2119,2,3
2120,15,17
2121,6,9
2122,9,7
2123,4,5
2125,11,13
2126,7,8
2127,2,4
2130,0,1
2131,3,3
2132,8,7
2133,1,4
2134,3,3
2135,8,9
2136,2,1
2137,15,14
2138,2,6
2140,7,4
2141,4,9
2142,9,10
2143,4,3
2144,18,20
2145,37,39
2146,5,8
2147,17,19
2148,33,34
2150,3,7
2151,6,6
2152,7,7
2153,25,26
2154,31,35
2155,41,39
2156,4,3
2157,3,3
2158,5,8
2159,5,4
2160,9,10
2161,15,12
2162,1,4
2163,6,6
2164,5,9
2165,16,20
2166,17,16
2167,1,3
2168,19,22
2170,43,41
2171,15,23
2173,8,9
2175,0,2
2176,25,18
2177,6,4
2178,2,3
2179,2,4
2190,10,8
