Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, Median_Tot_fam_inc_weekly, LGA_NAME11, Median_mortgage_repay_monthly, Average_household_size, Median_Tot_hhd_inc_weekly, Median_rent_weekly, LGA_MAIN11
470,1.1,42,1130,"Gundagai (A)",1186,2.5,907,140,"13500"
485,1.1,40,1200,"Gunnedah (A)",1300,2.5,937,190,"13550"
418,1.1,41,985,"Guyra (A)",1083,2.5,805,150,"13650"
387,1.1,45,907,"Gwydir (A)",928,2.3,726,100,"13660"
424,1.1,47,1030,"Harden (A)",1083,2.4,763,140,"13700"
622,1.1,36,1598,"Hawkesbury (C)",2029,2.8,1385,280,"13800"
441,1.1,43,981,"Hay (A)",1083,2.4,805,125,"13850"
517,1.2,34,1353,"Holroyd (C)",2058,2.8,1209,330,"13950"
682,1.1,39,2119,"Hornsby (A)",2400,2.9,1824,400,"14000"
820,1.1,42,2715,"Hunters Hill (A)",3000,2.6,2178,390,"14100"
540,1.2,37,1475,"Hurstville (C)",2167,2.8,1284,350,"14150"
430,1.1,41,963,"Inverell (A)",1200,2.5,792,160,"14200"
449,1.1,45,1068,"Jerilderie (A)",1000,2.5,856,80,"14250"
472,1.1,39,1142,"Junee (A)",1192,2.5,895,155,"14300"
386,1.1,45,902,"Kempsey (A)",1300,2.4,748,190,"14350"
564,1.1,45,1522,"Kiama (A)",2000,2.5,1234,300,"14400"
605,1.2,37,1667,"Kogarah (C)",2167,2.8,1463,380,"14450"
814,1.1,41,2679,"Ku-ring-gai (A)",3000,2.9,2508,575,"14500"
376,1.1,45,883,"Kyogle (A)",1083,2.4,714,170,"14550"
445,1.1,40,985,"Lachlan (A)",867,2.4,846,110,"14600"
520,1.1,41,1396,"Lake Macquarie (C)",1733,2.5,1117,255,"14650"
970,1.1,37,2637,"Lane Cove (A)",2734,2.5,2181,420,"14700"
478,1.1,36,1195,"Leeton (A)",1300,2.5,966,160,"14750"
1086,1.1,37,2738,"Leichhardt (A)",3000,2.3,2234,480,"14800"
469,1.1,40,1123,"Lismore (C)",1495,2.4,907,224,"14850"
450,1.1,42,1190,"Lithgow (C)",1452,2.3,896,170,"14870"
510,1.2,33,1401,"Liverpool (C)",2167,3.2,1299,295,"14900"
433,1.1,44,988,"Liverpool Plains (A)",1083,2.4,797,150,"14920"
456,1.1,44,1069,"Lockhart (A)",997,2.5,868,100,"14950"
562,1.1,36,1555,"Maitland (C)",1733,2.7,1292,259,"15050"
985,1.1,37,2649,"Manly (A)",3033,2.5,2221,520,"15150"
772,1.2,36,1964,"Marrickville (A)",2485,2.3,1605,370,"15200"
449,1.1,41,1204,"Mid-Western Regional (A)",1551,2.4,929,200,"15270"
558,1.1,35,1253,"Moree Plains (A)",1300,2.5,1053,140,"15300"
1117,1.1,40,2838,"Mosman (A)",3033,2.3,2465,473,"15350"
463,1.1,47,1043,"Murray (A)",1435,2.3,845,200,"15500"
508,1.1,38,1109,"Murrumbidgee (A)",1062,2.5,894,140,"15550"
619,1.1,34,1697,"Muswellbrook (A)",1733,2.6,1399,230,"15650"
377,1.1,49,853,"Nambucca (A)",1200,2.3,700,195,"15700"
520,1.1,39,1246,"Narrabri (A)",1300,2.5,982,140,"15750"
453,1.1,43,1013,"Narrandera (A)",1075,2.4,810,140,"15800"
492,1.1,39,1084,"Narromine (A)",1083,2.5,850,145,"15850"
563,1.1,37,1530,"Newcastle (C)",1777,2.4,1165,275,"15900"
1216,1.2,36,2768,"North Sydney (A)",2700,2.0,2205,480,"15950"
525,1.1,41,1272,"Oberon (A)",1517,2.5,988,170,"16100"
582,1.1,36,1472,"Orange (C)",1625,2.5,1161,230,"16150"
