smk_preg_2_denom_2012_14, brstfed_3_mon_1_count_2014_15, brstfed_6_mon_1_count_2014_15, ste_name, brstfed_6_mon_2_denom_2014_15, brstfed_3_mon_2_denom_2014_15, solids_4_mon_3_percent_2014_15, smk_preg_3_percent_2012_14, solids_4_mon_1_count_2014_15, solids_4_mon_2_denom_2014_15, smk_preg_1_count_2012_14, solids_4_mon_4_rrmse_2014_15, brstfed_3_mon_4_rrmse_2014_15, lga_code, lga_name, brstfed_6_mon_3_percent_2014_15, low_bweigt_1_count_2012_14, brstfed_3_mon_3_percent_2014_15, low_bweigt_2_denom_2012_14, brstfed_6_mon_4_rrmse_2014_15, low_bweigt_3_percent_2012_14
null,758,248,"nsw",1005,1137,9.1,null,232,2548,null,3,3,10050,"Albury (C)",24.7,null,66.7,null,3,null
896,284,62,"nsw",431,487,9.2,19.7,106,1148,176,1,3,10110,"Armidale Dumaresq (A)",14.4,72,58.4,879,3,8.2
1717,749,274,"nsw",948,1072,7.9,3.1,188,2364,52,3,3,10150,"Ashfield (A)",28.9,102,69.9,1725,3,5.9
5257,1964,765,"nsw",2606,2947,8.0,3.8,511,6422,198,3,3,10200,"Auburn (C)",29.4,227,66.7,5120,3,4.4
1010,402,164,"nsw",588,665,8.9,11.9,140,1572,120,3,3,10250,"Ballina (A)",27.9,49,60.5,1008,3,4.9
null,30,14,"nsw",47,53,9.2,null,10,109,null,2,2,10300,"Balranald (A)",29.2,null,56.8,null,1,null
9127,3839,1392,"nsw",5135,5807,8.5,7.9,1112,13108,720,3,3,10350,"Bankstown (C)",27.1,449,66.1,9044,3,5.0
1577,565,152,"nsw",769,869,9.1,19.7,181,1986,311,3,3,10470,"Bathurst Regional (A)",19.8,60,65.0,1509,3,4.0
765,305,71,"nsw",420,475,9.2,19.5,105,1142,149,3,3,10550,"Bega Valley (A)",16.9,22,64.3,747,3,2.9
372,123,46,"nsw",201,228,9.4,15.9,54,570,59,1,1,10600,"Bellingen (A)",23.0,21,54.1,369,3,5.7
49,99,23,"nsw",130,147,8.7,19.6,30,340,10,1,1,10650,"Berrigan (A)",17.9,null,67.5,null,1,null
16687,6778,1884,"nsw",8896,10060,9.0,12.4,2065,22980,2063,3,3,10750,"Blacktown (C)",21.2,1014,67.4,16533,3,6.1
208,71,30,"nsw",96,109,8.5,18.8,23,266,39,1,1,10800,"Bland (A)",30.8,null,65.0,null,1,null
298,95,19,"nsw",139,157,8.6,17.1,32,371,51,1,3,10850,"Blayney (A)",13.6,12,60.2,294,1,4.1
2430,978,255,"nsw",1280,1448,8.2,8.9,298,3614,216,3,3,10900,"Blue Mountains (C)",19.9,116,67.6,2300,3,5.1
125,46,24,"nsw",69,78,9.2,25.8,16,177,32,2,1,10950,"Bogan (A)",34.4,7,58.8,107,1,6.8
65,33,19,"nsw",45,51,8.4,20.0,9,107,13,1,3,11000,"Bombala (A)",41.9,null,64.3,null,3,null
49,31,8,"nsw",44,50,9.2,19.4,11,116,9,2,2,11050,"Boorowa (A)",18.8,null,63.3,null,2,null
2022,792,302,"nsw",1051,1188,8.2,4.6,222,2693,94,3,3,11100,"Botany Bay (C)",28.7,129,66.6,2036,3,6.3
162,null,null,"nsw",null,null,null,37.2,null,null,60,null,null,11150,"Bourke (A)",null,11,null,137,null,7.8
94,null,null,"nsw",null,null,null,37.1,null,null,35,null,null,11200,"Brewarrina (A)",null,6,null,80,null,7.4
635,196,84,"nsw",307,347,10.5,34.3,86,822,218,1,1,11250,"Broken Hill (C)",27.3,28,56.4,627,3,4.5
1240,546,214,"nsw",696,788,8.0,2.6,142,1784,32,3,3,11300,"Burwood (A)",30.7,56,69.3,1242,3,4.5
856,333,133,"nsw",492,556,8.8,7.3,112,1278,62,3,3,11350,"Byron (A)",27.0,30,59.9,788,3,3.8
466,227,70,"nsw",305,345,8.5,14.7,70,816,68,1,1,11400,"Cabonne (A)",22.8,18,65.7,446,3,4.1
2955,1488,374,"nsw",1823,2062,8.2,6.0,390,4759,178,3,3,11450,"Camden (A)",20.5,117,72.2,2899,3,4.0
6981,2572,837,"nsw",3643,4120,9.6,15.3,896,9343,1068,3,3,11500,"Campbelltown (C)",23.0,318,62.4,6831,3,4.7
