significance, numeric, ci_high, lga_name06, vic_ave, lga_code06, ci_low
none,48,57,Moyne (S),53.1,25490,39.2
none,44.6,54.9,Alpine (S),53.1,20110,34.8
none,48.2,59.2,Ararat (RC),53.1,20260,37.4
none,50.7,54.8,Ballarat (C),53.1,20570,46.5
none,51,60.1,Banyule (C),53.1,20660,41.8
none,48.3,59.6,Bass Coast (S),53.1,20740,37.1
none,45.8,55.6,Baw Baw (S),53.1,20830,36.3
none,59,68.4,Bayside (C),53.1,20910,48.8
worse,42.3,51.6,Benalla (RC),53.1,21010,33.6
none,63.8,72.1,Boroondara (C),53.1,21110,54.5
none,60.4,67.3,Brimbank (C),53.1,21180,53
none,47.3,59.2,Buloke (S),53.1,21270,35.8
none,47.1,56.5,Campaspe (S),53.1,21370,37.8
none,55.2,65.1,Cardinia (S),53.1,21450,44.9
none,50.5,57,Casey (C),53.1,21610,43.9
none,45.1,55.4,Central Goldfields (S),53.1,21670,35.2
none,56.8,66.1,Colac-Otway (S),53.1,21750,46.9
none,59.5,68.8,Corangamite (S),53.1,21830,49.5
none,57.1,66.3,Darebin (C),53.1,21890,47.5
none,45.3,56.9,East Gippsland (S),53.1,22110,34.2
none,51.8,61.8,Frankston (C),53.1,22170,41.6
none,52.5,62.7,Gannawarra (S),53.1,22250,42.1
none,55.5,64.1,Glen Eira (C),53.1,22310,46.6
none,49,58.5,Glenelg (S),53.1,22410,39.7
none,51.3,59.5,Golden Plains (S),53.1,22490,43.1
worse,42.4,51.3,Greater Bendigo (C),53.1,22620,34
better,69.5,77.9,Greater Dandenong (C),53.1,22670,59.5
none,51.3,58.7,Greater Geelong (C),53.1,22750,43.8
none,53.7,63.2,Greater Shepparton (C),53.1,22830,44
none,44,54.1,Hepburn (S),53.1,22910,34.3
none,40.2,52.4,Hindmarsh (S),53.1,22980,29
none,61.9,70.3,Hobsons Bay (C),53.1,23110,52.6
none,44.3,54,Horsham (RC),53.1,23190,35
none,46,55,Hume (C),53.1,23270,37.3
worse,43.1,51.6,Indigo (S),53.1,23350,35
none,48.6,57.8,Kingston (C),53.1,23430,39.5
none,51.1,60.8,Knox (C),53.1,23670,41.4
none,49.3,59.2,Latrobe (C),53.1,23810,39.5
none,40.1,52.8,Loddon (S),53.1,23940,28.7
none,54.3,62.7,Macedon Ranges (S),53.1,24130,45.6
none,62.6,71.8,Manningham (C),53.1,24210,52.4
none,49.4,58.3,Mansfield (S),53.1,24250,40.6
none,46.5,56.2,Maribyrnong (C),53.1,24330,37.1
none,54.2,63.1,Maroondah (C),53.1,24410,45
none,54.4,64.5,Melbourne (C),53.1,24600,43.8
none,48.3,56.9,Melton (S),53.1,24650,39.8
none,49.5,56.5,Mildura (RC),53.1,24780,42.5
none,45.4,55.8,Mitchell (S),53.1,24850,35.3
none,43.6,53.9,Moira (S),53.1,24900,33.8
none,57.1,66,Monash (C),53.1,24970,47.8
none,58.9,68.6,Moonee Valley (C),53.1,25060,48.4
worse,37.6,46.3,Moorabool (S),53.1,25150,29.7
none,53.4,62,Moreland (C),53.1,25250,44.6
none,56.6,67.7,Mornington Peninsula (S),53.1,25340,44.8
worse,38.6,48.1,Mount Alexander (S),53.1,25430,29.8
none,58,66.3,Murrindindi (S),53.1,25620,49.2
none,53.4,61.7,Nillumbik (S),53.1,25710,44.9
none,46.4,55.6,Northern Grampians (S),53.1,25810,37.5
none,56.4,64.9,Port Phillip (C),53.1,25900,47.5
none,40.7,53.7,Pyrenees (S),53.1,25990,28.9
none,39.7,58.1,Queenscliffe (B),53.1,26080,23.8
none,49.4,60.6,South Gippsland (S),53.1,26170,38.2
worse,41.8,50.7,Southern Grampians (S),53.1,26260,33.5
none,50.9,61.1,Stonnington (C),53.1,26350,40.6
better,67.1,77.5,Strathbogie (S),53.1,26430,54.7
none,46.8,55.9,Surf Coast (S),53.1,26490,37.8
none,50.2,59.7,Swan Hill (RC),53.1,26610,40.6
none,52,61.9,Towong (S),53.1,26670,41.8
none,46.6,55.7,Wangaratta (RC),53.1,26700,37.7
none,48.1,57,Warrnambool (C),53.1,26730,39.4
none,57.8,65.9,Wellington (S),53.1,26810,49.2
none,47,56.9,West Wimmera (S),53.1,26890,37.4
none,55.8,65.9,Whitehorse (C),53.1,26980,45.1
none,50,58.8,Whittlesea (C),53.1,27070,41.2
none,55.5,64.9,Wodonga (RC),53.1,27170,45.7
none,49.5,58.6,Wyndham (C),53.1,27260,40.6
none,53.2,62.4,Yarra (C),53.1,27350,43.8
none,53.6,61.9,Yarra Ranges (S),53.1,27450,45
none,42.6,54.9,Yarriambiack (S),53.1,27630,31.2
