y_1990_91, y_2005_06, y_1998_99, y_1989_90, y_2000_01, state, y_1991_92, lga_name, y_1995_96, y_2002_03, y_1985_86, y_1997_98, y_1986_87, y_1996_97, state_code, y_1987_88, y_1994_95, y_1982_83, y_1980_81, y_1988_89, y_2003_04, y_2001_02, lga_code, y_1993_94, y_1992_93, y_1981_82, y_1984_85, y_1983_84, y_1999_00, y_2004_05, objectid
36050.2347676,46348.796764628,42938.3053466783,37263.5014895813,43335.5404067444,"NSW                                                                                                                                                                                                                                                            ",36595.0577230445,"Albury (C)                                        ",38788.6426392735,44496.5328209702,38319.9873975235,41189.6674258161,38268.4276150949,39147.1138935344,"1                                                                                                                                                                                                                                                              ",38047.9012561668,39199.7612498568,39139.7938870816,39398.0590118139,38127.4538286927,46021.5530311751,43615.4183306103,10050,39519.6932205793,38099.8072923812,39709.9336254828,39190.1422554568,38444.4391755047,43143.3634844169,46252.6259134126,1
33015.6613136854,40554.6296526554,38606.9700450984,33854.3540916359,38465.6280689138,"NSW                                                                                                                                                                                                                                                            ",32513.640595555,"Bega Valley (A)                                   ",34236.2061485405,38681.8843808488,34588.1365637243,36025.5823356439,33984.2871821752,34315.6165115443,"1                                                                                                                                                                                                                                                              ",34230.2477283767,34812.2013163093,36395.671703007,36900.1472377706,34721.7811415474,40455.3562179063,38974.9378777675,10550,35124.5648011942,33554.4375379184,37204.58761321,35268.1130952189,34999.464942709,38912.6164734373,40388.130065981,10
31830.8768798312,39608.4296368765,38285.8580652758,34502.8998884438,40158.2954831595,"NSW                                                                                                                                                                                                                                                            ",31957.9066166483,"Narrandera (A)                                    ",36207.0788328078,39444.0732702468,35222.6654622451,36674.1178008361,34930.13376815,36804.6958838629,"1                                                                                                                                                                                                                                                              ",35983.3201114685,34358.5499806946,37288.3956842652,39611.5522246829,35603.4192420958,40856.2998362342,40771.3705179994,15800,35867.880719385,33690.0395766218,40290.343441262,36715.2631666241,37295.0540968076,38297.8878028145,40200.4652343868,100
31975.2648460354,39975.9011780828,37961.3248139318,34724.7954574617,39187.9479760894,"NSW                                                                                                                                                                                                                                                            ",33412.4117603649,"Narromine (A)                                     ",35197.8702920154,40087.9963609321,34578.2077828414,36900.4656048132,33777.4621827801,36891.5861220913,"1                                                                                                                                                                                                                                                              ",36354.2171705573,34474.4525885414,35090.7532001816,38566.389685864,37108.9175861702,39954.5378214539,41080.208943828,15850,35616.0661585609,33619.8666906325,38662.276878552,34469.7648628061,35510.3623315517,37408.5181630602,39504.5556533388,101
40472.3140350295,49691.1036058917,47527.5533723853,39816.1191251407,46574.9837630755,"NSW                                                                                                                                                                                                                                                            ",40697.9634647606,"Newcastle (C)                                     ",42351.5391032379,46674.1090689723,41523.9815899956,45575.1422425314,40375.3255256789,43159.4714434711,"1                                                                                                                                                                                                                                                              ",39528.7420771382,43238.036461082,42898.9607929885,43187.8521289471,40478.103987055,48376.9983677932,46125.1228755601,15900,43132.5121958516,41577.7419899041,44378.6925912225,42388.5202389006,42069.787492178,47378.0759336051,49152.8064774406,102
54996.2959478876,88457.4050342144,77829.023125261,56247.9588059163,86662.8645064671,"NSW                                                                                                                                                                                                                                                            ",55718.8697406423,"North Sydney (A)                                  ",64399.0551831985,81223.6906560963,50281.9243091302,73118.3875069536,50760.8337587105,67197.1996845195,"1                                                                                                                                                                                                                                                              ",54696.1277672711,63380.125802136,47396.536749622,46994.3069635468,59752.3384964687,83726.2409207415,81757.9290327035,15950,60523.1757386476,57630.6754185027,47319.4966006192,48437.4574928223,46915.4743546445,83885.6265395687,89083.6123028449,103
35807.9933383379,44581.0981941944,43566.1516973678,37851.3676057484,43165.8014514676,"NSW                                                                                                                                                                                                                                                            ",36633.5065724909,"Oberon (A)                                        ",38603.0147233174,44469.7515733625,37738.8931488662,43039.7372814684,37451.2649907589,41143.470920533,"1                                                                                                                                                                                                                                                              ",39939.5963356455,39310.9707900542,37523.7042692613,39266.3070100531,40078.1283557251,45926.4206060209,43933.0342997648,16100,39609.5882935646,37635.5716473506,38587.7399060519,38694.1419809639,37164.625571308,44296.3152132164,45987.6921826288,104
35900.7043378814,47467.7960082752,43838.9525059766,36293.4156065318,44359.03404941,"NSW                                                                                                                                                                                                                                                            ",36477.1517598377,"Orange (C)                                        ",38485.2376664208,44467.8197697347,37607.8709134746,42188.3358734568,37057.2183351029,39158.4192642198,"1                                                                                                                                                                                                                                                              ",36968.0414122801,39119.739126462,38821.4881439066,38836.6231843355,37156.021934181,46438.8878184166,44500.2737148291,16150,38805.0873294847,37371.1000103379,39337.4175665703,38236.1068994182,38129.0724754248,44680.2030457342,47542.8419215281,105
38910.4750549815,52680.0296733651,47701.5789547417,40079.7526293406,48657.3638477688,"NSW                                                                                                                                                                                                                                                            ",39284.6157988583,"Palerang (A)                                      ",41621.6388845536,48373.0092249031,40735.976652785,46183.8187525833,40672.9944531592,44336.7158153673,"1                                                                                                                                                                                                                                                              ",42743.6586536029,42854.0506725573,40137.6854673623,37895.2419958249,42020.3548182072,49907.7858787307,48236.524497753,16180,42796.2393624904,40604.0700995189,38409.5725846513,40863.0288711854,39397.1603769001,49475.6106680963,51421.9034430856,106
32636.9478988061,40557.0587400195,40154.4825502048,35892.0215574715,41404.5272744589,"NSW                                                                                                                                                                                                                                                            ",32312.4465675417,"Parkes (A)                                        ",36747.2808044388,42079.7565935816,35086.4400042518,38511.7282791213,34647.8271279376,38181.4384437298,"1                                                                                                                                                                                                                                                              ",37046.2915040706,35832.7791256242,37952.7222986631,38351.6228073504,37883.6756737881,41547.4180404934,42248.744175002,16200,35959.2784584051,32951.434084274,40014.2997113967,36583.9948777158,37295.254468518,39533.7080431766,41152.9580217136,107
