bn_osea_10, bn_osea_11, erp_8, erp_9, erp_6, erp_7, erp_f_5, erp_f_6, erp_f_7, erp_f_8, erp_f_9, emp_occ_10, year_, school_2, school_8, school_7, school_6, school_5, school_4, school_3, erp_m_18, erp_m_17, erp_m_19, erp_m_14, erp_m_13, erp_m_16, erp_m_15, wk_trav_10, wk_trav_12, wk_trav_14, wk_trav_15, wk_trav_16, wk_trav_17, erp_f_4, erp_f_3, erp_f_2, bd_2, bd_3, bd_4, bd_5, erp_m_10, erp_m_11, erp_m_12, emp_occ_2, emp_occ_3, erp_m_7, erp_f_12, emp_occ_4, erp_m_6, erp_f_13, emp_occ_5, erp_m_9, erp_f_10, emp_occ_6, erp_m_8, erp_f_11, erp_m_3, erp_f_16, erp_m_2, erp_f_17, erp_m_5, erp_f_14, erp_19, erp_m_4, erp_f_15, erp_18, atsi_2, erp_f_18, erp_f_19, lang_2, erp_21, emp_occ_8, emp_occ_7, erp_m_20, emp_occ_9, erp_p_9, hhtype_5, erp_p_8, hhtype_6, erp_p_7, erp_p_6, erp_p_5, erp_p_4, erp_p_3, erp_p_2, unpaidw_5, unpaidw_6, unpaidw_2, unpaidw_3, unpaidw_4, erp_10, mig_3, hhtype_4, erp_11, mig_2, hhtype_3, erp_12, hhtype_2, erp_13, erp_14, bn_osea_8, bn_osea_9, sa2_main11, bn_osea_6, bn_osea_7, erp_p_20, bn_osea_4, bn_osea_5, erp_f_20, bn_osea_2, bn_osea_3, family_6, family_5, family_4, family_3, family_9, family_8, family_7, internet_5, erp_p_16, internet_4, erp_p_17, internet_3, erp_p_18, internet_2, erp_p_19, family_2, erp_p_11, erp_p_10, erp_p_13, erp_p_12, erp_p_15, erp_p_14, sa2_name11, wk_trav_3, wk_trav_4, wk_trav_7, wk_trav_8, wk_trav_5, wk_trav_6, wk_trav_9
0.0,0.0,8.6,10.7,17.8,8.4,204,119,146,181,213,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,123,174,76,324,296,269,359,0,0,0,0,0,0,227,273,226,82,2,80,0.0,229,213,218,0.0,0.0,192,232,0,128,340,0,181,219,0.0,158,218,242,271,219,162,208,330,49.1,212,366,55.4,0.0,149,153,0.0,123.2,0.0,0.0,3821,0.0,394,0,339,0.0,338,247,412,439,515,445,0.0,0.0,0.0,0.0,0,11.2,0.0,0,0.0,0,0,16.1,0,7.7,2.9,0.0,0.0,"101041017",0.0,0.0,7850,0.0,0.0,4029,0.0,0.0,0,0,0,0,0.0,0,0,0,540,0.0,336,0.0,272,0.0,229,0,431,448,636,450,725,654,"Batemans Bay",0,0,0,0,0,0,0
0.0,0.0,8.2,9.6,16.6,9.3,234,139,177,213,160,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,171,192,120,307,268,327,426,0,0,0,0,0,0,266,241,197,75,2,130,0.0,223,209,279,0.0,0.0,168,345,0,171,297,0,185,259,0.0,154,248,233,326,243,229,257,363,50.6,254,409,53.9,0.0,152,190,0.0,282.1,0.0,0.0,4187,0.0,345,0,367,0.0,345,310,491,520,474,440,0.0,0.0,0.0,0.0,0,12.5,0.0,0,0.0,0,0,17.2,0,8.6,3.6,0.0,0.0,"101041018",0.0,0.0,8632,0.0,0.0,4445,0.0,0.0,0,0,0,0,0.0,0,0,0,653,0.0,421,0.0,323,0.0,310,0,457,482,565,624,835,670,"Batemans Bay - South",0,0,0,0,0,0,0
0.0,0.0,9.6,10.8,17.8,11.6,301,196,190,202,226,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,101,155,62,322,340,224,257,0,0,0,0,0,0,270,238,222,87,2,82,0.0,203,251,340,0.0,0.0,233,369,0,195,331,0,216,263,0.0,184,292,248,207,280,176,281,304,45.2,238,227,62.3,0.0,120,149,0.0,45.6,0.0,0.0,4130,0.0,442,0,386,0.0,423,391,582,508,486,502,0.0,0.0,0.0,0.0,0,14.9,0.0,0,0.0,0,0,10.9,0,6.6,2.5,0.0,0.0,"101041019",0.0,0.0,8413,0.0,0.0,4283,0.0,0.0,0,0,0,0,0.0,0,0,0,431,0.0,331,0.0,221,0.0,211,0,543,466,671,709,484,626,"Bega - Tathra",0,0,0,0,0,0,0
0.0,0.0,6.5,10.9,18.3,9.7,314,118,130,178,225,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,76,139,50,469,522,222,312,0,0,0,0,0,0,313,283,240,72,2,46,0.0,281,343,451,0.0,0.0,148,482,0,126,473,0,178,301,0.0,132,363,261,141,218,99,316,360,48.1,343,318,65.4,0.0,61,55,0.0,1.9,0.0,0.0,4587,0.0,403,0,310,0.0,278,244,630,656,544,458,0.0,0.0,0.0,0.0,0,18.1,0.0,0,0.0,0,0,11.0,0,4.1,1.2,0.0,0.0,"101041020",0.0,0.0,9041,0.0,0.0,4454,0.0,0.0,0,0,0,0,0.0,0,0,0,363,0.0,238,0.0,137,0.0,105,0,706,582,995,933,630,829,"Bega-Eden Hinterland",0,0,0,0,0,0,0
0.0,0.0,6.1,8.7,17.3,9.0,78,50,32,56,59,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,60,77,40,146,117,88,99,0,0,0,0,0,0,84,71,77,20,2,40,0.0,66,103,113,0.0,0.0,33,115,0,49,111,0,61,72,0.0,61,98,67,96,76,73,90,129,51.3,138,122,55.4,0.0,73,80,0.0,122.3,0.0,0.0,1484,0.0,120,0,117,0.0,65,99,168,222,138,153,0.0,0.0,0.0,0.0,0,14.5,0.0,0,17.0,0,0,13.7,0,9.6,4.1,0.0,0.0,"101041021",0.0,0.0,2960,0.0,0.0,1476,0.0,0.0,0,0,0,0,0.0,0,0,0,184,0.0,150,0.0,133,0.0,120,0,201,138,228,228,221,275,"Broulee - Tomakin",0,0,0,0,0,0,0
0.0,0.0,5.0,13.3,25.0,5.0,0,0,2,0,2,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0.0,1,3,3,0.0,0.0,0,5,0,3,2,0,0,5,0.0,1,0,3,0,3,0,0,2,45.3,2,2,56.7,0.0,0,2,0.0,0.0,0.0,0.0,31,0.0,2,0,1,0.0,2,3,0,2,3,10,0.0,0.0,0.0,0.0,0,18.3,0.0,0,15.0,0,0,15.0,0,0.0,3.3,0.0,0.0,"101041022",0.0,0.0,60,0.0,0.0,29,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,2,0,3,6,2,8,9,7,"Deua - Wadbilliga",0,0,0,0,0,0,0
0.0,0.0,9.3,9.9,17.0,10.4,102,68,86,77,84,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,43,87,37,130,119,76,111,0,0,0,0,0,0,101,82,81,37,3,42,0.0,69,115,119,0.0,0.0,72,142,0,65,145,0,81,96,0.0,75,80,100,112,92,78,114,146,47.9,113,118,59.4,0.0,58,68,0.0,35.2,0.0,0.0,1618,0.0,165,0,152,0.0,158,133,216,214,182,173,0.0,0.0,0.0,0.0,0,13.6,0.0,0,0.0,0,0,12.5,0,8.0,3.1,0.0,0.0,"101041023",0.0,0.0,3342,0.0,0.0,1724,0.0,0.0,0,0,0,0,0.0,0,0,0,188,0.0,165,0.0,101,0.0,105,0,195,165,264,261,229,276,"Eden",0,0,0,0,0,0,0
0.0,0.0,6.8,10.1,16.4,8.7,104,33,70,59,85,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,35,54,32,170,159,84,158,0,0,0,0,0,0,114,73,43,20,2,17,0.0,90,145,185,0.0,0.0,40,154,0,67,161,0,67,95,0.0,57,119,122,56,87,56,86,178,50.1,109,125,63.6,0.0,34,34,0.0,2.3,0.0,0.0,1747,0.0,152,0,116,0.0,110,100,190,223,195,130,0.0,0.0,0.0,0.0,0,18.1,0.0,0,20.0,0,0,12.7,0,5.4,2.0,0.0,0.0,"101041024",0.0,0.0,3340,0.0,0.0,1593,0.0,0.0,0,0,0,0,0.0,0,0,0,140,0.0,110,0.0,69,0.0,66,0,264,185,320,339,283,348,"Eurobodalla Hinterland",0,0,0,0,0,0,0
0.0,0.0,6.9,9.6,14.6,9.4,276,192,152,219,210,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,188,265,150,408,401,371,449,0,0,0,0,0,0,265,258,222,86,2,121,0.0,277,311,344,0.0,0.0,162,426,0,227,464,0,200,299,0.0,177,301,249,368,229,293,274,447,52.5,276,490,56.0,0.0,201,251,0.0,105.8,0.0,0.0,4958,0.0,410,0,396,0.0,314,419,550,541,507,451,0.0,0.0,0.0,0.0,0,13.4,0.0,0,0.0,0,0,16.3,0,9.2,3.9,0.0,0.0,"101041025",0.0,0.0,10292,0.0,0.0,5334,0.0,0.0,0,0,0,0,0.0,0,0,0,739,0.0,558,0.0,389,0.0,401,0,612,576,865,770,939,855,"Merimbula - Tura Beach",0,0,0,0,0,0,0
0.0,0.0,6.0,10.4,16.1,9.8,231,145,101,125,186,0.0,2013,0.0,0.0,0.0,0.0,0.0,0,0.0,119,202,69,324,316,267,371,0,0,0,0,0,0,244,182,161,57,2,68,0.0,216,254,293,0.0,0.0,114,333,0,143,357,0,163,257,0.0,139,241,229,273,196,179,256,334,51.0,267,382,57.1,0.0,138,117,0.0,47.9,0.0,0.0,3938,0.0,349,0,264,0.0,215,288,487,511,411,357,0.0,0.0,0.0,0.0,0,14.1,0.0,0,0.0,0,0,16.3,0,8.1,2.3,0.0,0.0,"101041026",0.0,0.0,7924,0.0,0.0,3986,0.0,0.0,0,0,0,0,0.0,0,0,0,540,0.0,381,0.0,257,0.0,186,0,495,473,673,626,753,658,"Moruya - Tuross Head",0,0,0,0,0,0,0
