dths_rti_0_74_1_no_1_08_12_12, dths_extl_0_74_3_lci_1_08_12_12, dth_bst_0_74_4_uci_1_08_12_12, dths_isch_0_74_4_uci_1_08_12_12, dths_resp_0_74_1_no_1_08_12_12, dths_colo_0_74_3_lci_1_08_12_12, dths_suic_0_74_2_rate_1_08_12_12, dths_lung_0_74_4_uci_1_08_12_12, dths_f_0_74_4_uci_1_08_12_12, dths_m_0_74_3_lci_1_08_12_12, dths_colo_0_74_1_no_1_08_12_12, dths_cir_0_74_5_sig_1_08_12_12, dths_colo_0_74_4_uci_1_08_12_12, dths_m_0_74_4_uci_1_08_12_12, dths_lung_0_74_2_rate_1_08_12_12, dth_cop_0_74_1_no_1_08_12_12, dth_cop_0_74_3_lci_1_08_12_12, dths_tot_0_74_3_lci_1_08_12_12, dths_suic_0_74_1_no_1_08_12_12, dths_tot_0_74_4_uci_1_08_12_12, dths_lung_0_74_3_lci_1_08_12_12, dths_resp_0_74_4_uci_1_08_12_12, dths_canc_0_74_1_no_1_08_12_12, dths_extl_0_74_4_uci_1_08_12_12, dths_colo_0_74_5_sig_1_08_12_12, dths_cir_0_74_2_rate_1_08_12_12, dths_f_0_74_2_rate_1_08_12_12, dths_f_0_74_5_sig_1_08_12_12, dths_canc_0_74_2_rate_1_08_12_12, dths_suic_0_74_4_uci_1_08_12_12, dths_rti_0_74_2_rate_1_08_12_12, dths_lung_0_74_1_no_1_08_12_12, dth_dia_0_74_1_no_1_08_12_12, dths_cerb_0_74_4_uci_1_08_12_12, dths_cir_0_74_3_lci_1_08_12_12, dths_resp_0_74_2_rate_1_08_12_12, dths_extl_0_74_5_sig_1_08_12_12, dths_cerb_0_74_3_lci_1_08_12_12, dths_resp_0_74_5_sig_1_08_12_12, dths_isch_0_74_5_sig_1_08_12_12, dths_cir_0_74_4_uci_1_08_12_12, dths_rti_0_74_3_lci_1_08_12_12, dths_colo_0_74_2_rate_1_08_12_12, area_code, dths_isch_0_74_3_lci_1_08_12_12, dths_canc_0_74_3_lci_1_08_12_12, dths_f_0_74_1_no_1_08_12_12, dth_cop_0_74_4_uci_1_08_12_12, dth_bst_0_74_5_sig_1_08_12_12, dths_m_0_74_1_no_1_08_12_12, dth_bst_0_74_1_no_1_08_12_12, dths_tot_0_74_2_rate_1_08_12_12, dths_extl_0_74_2_rate_1_08_12_12, dths_rti_0_74_4_uci_1_08_12_12, dths_m_0_74_2_rate_1_08_12_12, dth_bst_0_74_2_rate_1_08_12_12, dths_cerb_0_74_1_no_1_08_12_12, dths_suic_0_74_5_sig_1_08_12_12, area_name, dths_f_0_74_3_lci_1_08_12_12, dth_bst_0_74_3_lci_1_08_12_12, dths_canc_0_74_5_sig_1_08_12_12, dths_lung_0_74_5_sig_1_08_12_12, dth_dia_0_74_3_lci_1_08_12_12, dths_extl_0_74_1_no_1_08_12_12, dths_rti_0_74_5_sig_1_08_12_12, dth_dia_0_74_2_rate_1_08_12_12, dths_tot_0_74_5_sig_1_08_12_12, dths_isch_0_74_2_rate_1_08_12_12, dths_tot_0_74_1_no_1_08_12_12, dth_dia_0_74_5_sig_1_08_12_12, dths_isch_0_74_1_no_1_08_12_12, dth_cop_0_74_2_rate_1_08_12_12, dths_suic_0_74_3_lci_1_08_12_12, dths_cerb_0_74_5_sig_1_08_12_12, dths_m_0_74_5_sig_1_08_12_12, dths_canc_0_74_4_uci_1_08_12_12, dth_dia_0_74_4_uci_1_08_12_12, dth_cop_0_74_5_sig_1_08_12_12, dths_cerb_0_74_2_rate_1_08_12_12, dths_cir_0_74_1_no_1_08_12_12, dths_resp_0_74_3_lci_1_08_12_12
null,15.4516431031754,17.2627402176437,30.585016038762,36.0,5.51536565829873,8.18257749834287,40.2794260502286,220.248826939796,269.97952258249,19.0,3.0,14.5279309598701,340.072853717862,32.1990107407681,21.0,6.23285049409069,226.159253839812,16.0,270.856347850519,24.1185954313075,24.7957766251678,205.0,28.6264665715639,3.0,42.4102168037586,192.442246844615,3.0,108.172360427511,12.1920404725309,null,61.0,7.0,8.42910503861937,33.1742140331623,18.6902838883174,1.0,1.97844110676571,3.0,3.0,51.6462195743549,null,10.0216483090844,105051100,16.7536313821971,93.3643931047648,184.0,15.5491779441729,3.0,291.0,10.0,248.507800845166,22.0390548373697,null,305.026188150176,10.6572859507484,10.0,3.0,"Botany Bay (C)",164.635666749433,4.05183168385312,3.0,2.0,0.947572259094489,43.0,3.0,3.65590339584716,3.0,23.6693237104796,475.0,3.0,45.0,10.8910142191318,4.17311452415486,3.0,3.0,122.980327750257,6.36423453259983,3.0,5.20377307269254,81.0,12.5847911514671
null,20.9925994624714,19.66208507613,30.0571681283532,29.9992611,5.17997846596748,9.0067484252468,24.767495389146,175.378936740047,276.453671001778,20.9998358,3.0,12.9226164918639,340.447879438321,19.0680658509461,12.9996716,2.76070617428273,208.756344915997,25.9996716,246.94611779961,13.3686363127462,18.2685307890421,207.9963055,33.1698490113228,3.0,48.3025507893733,153.545570851561,1.0,89.8177573266508,12.4688529248271,null,42.9994253,8.9998358,17.3391241977878,39.3567079443648,13.4540143089234,3.0,8.08546539015525,3.0,3.0,57.2483936343818,null,9.05129747891571,105054800,17.4907594083028,77.6112766549644,189.9963876,9.3373883320365,3.0,356.9953203,16.9992611,227.851231357803,27.0812242368971,null,308.45077522005,13.326792414823,28.9996716,3.0,"Leichhardt (A)",131.712204963075,6.99149975351604,3.0,3.0,1.37484984639754,75.9994253,3.0,3.9659812020617,3.0,23.773963768328,546.9917079,3.0,54.9987685,6.04904725315962,5.54464392566646,3.0,3.0,102.024237998337,6.55711255772585,3.0,12.7122947939715,111.9978654,8.63949782880471
4.9295048,18.5527265729161,27.3448198525334,37.2874563298065,59.3211203,5.91363237740186,9.06275722049038,30.5094421704107,200.605543302459,292.921519014615,29.3942572,2.0,12.6102823527651,346.854212268092,24.9283101145122,25.3942572,5.14716010374607,233.599332773755,38.3158369,267.600791283809,19.3471780586137,23.8184225648445,312.0545037,27.85431373809,3.0,58.6227374776998,180.030942979632,3.0,98.4928589877185,11.9323961765305,1.22213927560545,76.6395989,18.4647524,13.6294117203836,50.2538430048227,18.9867097709472,1.0,6.65255158836372,1.0,3.0,66.9916319505768,0.143254348777856,9.26195736508348,105055200,25.0240295471769,87.5647356489383,294.132924,11.6996409875053,3.0,540.5843266,33.4621107,250.600062028782,23.2035201555031,2.30102420243305,319.887865641353,20.4244444003835,32.4647524,1.0,"Marrickville (A)",159.456342656806,13.5040689482337,3.0,3.0,3.17914252663645,95.6237487,2.0,5.84536022799476,3.0,31.1557429384917,834.7172506,3.0,99.1801299,8.4234005456257,6.19311826445023,3.0,3.0,109.420982326499,8.51157792935308,3.0,10.1409816543736,188.4986085,14.1549969770498
null,13.8899599263772,null,21.7643403947316,null,null,9.06674349923119,24.1310335777359,160.370601358816,162.246413867821,null,3.0,null,246.176104705495,14.9368410436405,null,null,139.058955177751,13.1638092,195.27059373107,5.74264850954503,null,56.0811525,29.1656731508375,3.0,32.6772549859248,124.085617134971,2.0,78.100216668691,13.9647190339765,null,10.1391716,0.0,13.4956599631398,19.5380376068728,null,3.0,1.00233165338231,3.0,1.0,45.8164723649767,null,null,105057201,4.77743633878233,57.6593246018632,44.926352,null,3.0,90.9704314,null,167.16477445441,21.5278165386074,null,204.211259286658,null,5.173346,3.0,"Sydney (C) - Inner",87.8006329111251,null,1.0,3.0,0.0,30.5189163,3.0,0.0,2.0,13.270888366757,135.8967834,3.0,9.3787219,null,4.16876796448591,3.0,2.0,98.5411087355188,0.0,3.0,7.24899580826104,23.7609763,null
null,34.3884007886828,20.512639435961,42.2883678583001,24.9256757,3.96398484904824,18.6374105921156,25.0535413770165,203.712987729718,334.991610844399,15.2599037,2.0,11.9473793818324,403.913309607353,18.7664920555444,8.9994784,1.79422620936843,265.814271932491,56.8629519,312.543154609864,12.4794427340723,18.9538735633546,188.1718437,49.2015051042729,3.0,62.8677764119782,175.358644827697,3.0,98.760711776478,23.48166500749,null,34.228243,11.9992176,17.4258170446841,51.6812185626757,13.6105782453288,2.0,7.40228495744058,3.0,1.0,74.0543342612808,null,7.95568211544031,105057204,25.7240581676394,84.6495437703452,146.9357011,8.55764420524785,3.0,441.5473812,10.685246,289.178713271177,41.7949529464779,null,369.452460225876,12.8235813690645,23.5698932,2.0,"Sydney (C) - East",147.004301925675,5.13452330216793,3.0,3.0,2.76568429915234,122.3285007,3.0,6.36992765916217,2.0,34.0062130129697,588.4830823,3.0,64.765242,5.17593520730814,13.7931561767413,3.0,2.0,112.871879782611,9.97417101917199,3.0,12.4140510010623,121.3320113,8.26728292730294
0.0,11.536193146164,32.5413428989914,18.9401577568868,11.0,1.04206658672789,9.54300937012071,14.4712763038902,132.905712994301,136.837558729731,8.6552907,2.0,5.20189636392952,179.748129953754,10.6412767934956,5.0,0.218951209785428,121.992472567748,25.9658721,149.566793727977,6.81127728310105,6.26835123095305,186.1740698,21.1700540852067,2.0,26.1067957835701,115.240364758727,2.0,67.2987500466606,13.2136339191464,0.0,29.6552907,null,7.84395236400168,20.0851335603196,3.93997487280755,2.0,2.48984258249088,2.0,2.0,32.1284580068206,0.0,3.12198147532871,105108500,9.97533004717165,57.63148839827,163.4846512,3.32792730376044,1.0,209.105814,34.2764535,135.779633147863,16.3531236156854,0.0,158.292844341743,24.3795746988616,14.3105814,3.0,"Woollahra (A)",97.5750165231542,16.2178064987318,2.0,2.0,null,44.2764535,3.0,null,2.0,14.4577439020292,372.5904652,3.0,39.9658721,1.77343925677294,5.87238482109498,1.0,2.0,76.9660116950513,null,2.0,5.16689747324628,72.2081977,1.61159851466205
6.2461905,12.8244783240591,14.9086304526002,26.8395799482415,45.8833564,5.35256404587937,8.85197187833478,23.9645534520205,147.761126376336,215.60263259231,30.8485576,1.0,11.190401643063,260.306037059301,19.480204217267,18.0798821,2.59179442259954,169.721073382042,33.7881467,197.154941127888,14.9958549825135,15.7377262924071,313.5626356,21.0956585526668,3.0,39.3074756214207,131.512000000094,2.0,84.1149987757106,11.8367627741506,1.63950284935676,72.4937054,19.4753257,10.6782600320406,32.9631023159956,12.2059065977678,2.0,5.02163875087479,3.0,3.0,45.6518489268458,0.353740706862378,8.2714828444712,105154150,17.3167207920367,74.8046197558232,251.6418532,7.02444584301843,1.0,435.3897272,19.6069486,183.438007254965,16.960068438363,2.92526499185113,237.954334825805,10.3342664454085,29.5931804,1.0,"Hurstville (C)",115.262873623852,5.7599024382167,2.0,3.0,2.8846260532055,64.6089029,2.0,5.18942404080928,2.0,22.0781503701391,687.0315804,3.0,82.596717,4.80812013280898,5.86718098251896,3.0,2.0,93.425377795598,7.49422202841307,1.0,7.84994939145769,147.4636543,8.6740869031285
5.342952,9.91763899136703,13.691112450692,25.6341361089568,14.449175,5.58778062409378,6.00620169828731,21.5447670738477,150.389403194755,175.774668417629,24.5119384,1.0,12.9112317052838,224.185656605669,16.6239008034685,5.2728604,0.293224631935579,149.494141063937,16.671476,180.338793644715,11.7030345330894,8.2828946648351,212.5708864,18.8706470405831,3.0,39.0060122922902,131.081590684392,2.0,80.2386538840989,8.88936311855841,1.94009362329304,43.842458,4.8477906,11.5881067458761,31.4981730323736,5.46500018267447,2.0,4.72319793402175,2.0,3.0,46.5138515522068,0.29500945347089,9.24950616468881,105154450,14.8145080295749,69.4519734189643,177.063646,3.71142196583139,1.0,262.2153264,11.8477906,164.916467354326,14.3941430159751,3.58517779311519,199.980162511649,8.72364251861433,21.6880246,2.0,"Kogarah (C)",111.773778174028,3.75617258653663,2.0,3.0,0.200740512588587,39.7196864,2.0,1.82812026033673,2.0,20.2243220692658,439.2789724,2.0,53.6902486,2.00232329888349,3.12304027801621,3.0,2.0,91.0253343492335,3.45550000808488,2.0,8.15565233994893,103.6920158,2.64710570051384
13.4108575,14.8749941354226,17.5361968875122,26.5181465459464,53.2248657,6.49244306992479,6.13051486765022,27.4448033344687,176.787149673033,256.349637368483,43.0823335,3.0,12.0206709728817,299.078470454482,23.074768121032,23.6473708,2.97782478769413,205.404781738284,30.0823335,232.137840042691,18.7047329075953,14.2548529593947,468.133996,22.5395488656486,3.0,44.2051552213349,160.635374001022,1.0,100.702758250595,8.32128726577793,2.75419580494256,107.1067794,28.9060189,12.0045654086219,38.1913836128887,11.2361722879593,2.0,6.52039475913893,3.0,3.0,50.2189268297811,1.28011052331736,9.25655702140327,105156650,17.9606223752014,91.5802902846921,379.9740798,6.9990618752981,3.0,649.121188,29.6598284,218.771310890487,18.7072715005356,4.22828108656777,277.714053911482,12.8952899008166,43.8333626,2.0,"Rockdale (C)",144.483598329011,8.25438291412109,3.0,3.0,3.90305149386083,91.5417421,2.0,6.14222422605994,2.0,22.2393844605739,1029.0952678,3.0,103.7818458,4.98844333149611,3.93974246952252,3.0,3.0,109.825226216498,8.38139695825904,1.0,9.2624800838804,207.5697784,8.21749161652382
15.0029429,18.085237513518,15.5571214955147,19.2599294781047,54.0987094,4.90706022782909,9.48757116116126,16.7573667067236,159.665141731188,201.872285366745,37.4058962,2.0,9.53543114451368,238.536251466147,13.5912370613516,24.0029429,2.71966465219461,170.283110296544,46.2000918,193.636596824138,10.4251074159797,13.0698941217483,430.1705441,26.4638419492728,3.0,34.20644167225,145.053083064764,2.0,83.1149086006261,12.2234048834723,3.13173520721895,70.7901332,8.8000814,10.1660966628893,29.1758002132271,10.319868288377,2.0,5.38325867056025,1.0,2.0,39.2370831312729,1.54701397063314,7.22124568617139,105157151,12.4129413405324,75.2604786901308,378.5674384,6.34677266357218,1.0,554.2997909,29.3951835,181.959853560341,22.2745397313954,4.71645644380476,220.204268416446,11.4263895764682,40.603697,3.0,"Sutherland Shire (A) - East",130.44102439834,7.29565765742161,2.0,2.0,0.571939022883682,108.604104,1.0,1.68570768001356,2.0,15.8364354093186,932.8672293,2.0,82.2030347,4.53321865788339,6.75173743885027,3.0,2.0,90.9693385111214,2.79947633714344,2.0,7.77467766672479,177.6156418,7.56984245500565
