sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
205353271,Hume (C) - Broadmeadows,68.5,9.3,33.4,51.1,18.3
205353274,Hume (C) - Craigieburn,60.2,6.8,34.1,46.9,14.5
205353275,Hume (C) - Sunbury,55.8,7.9,25.9,39.9,19.7
205405713,Nillumbik (S) - South,64.3,6.4,39.9,52.2,12.2
205405715,Nillumbik (S) - South-West,68.7,7.6,39.8,54.7,13.9
205405718,Nillumbik (S) Bal,70.7,9.2,36.1,53.8,17.1
205407071,Whittlesea (C) - North,62.5,7.2,35.1,48.7,14.7
205407075,Whittlesea (C) - South-East,71.6,8.4,39.7,56.3,15
205407076,Whittlesea (C) - South-West,61.6,8.1,30.8,45.8,17.7
205607454,Yarra Ranges (S) - North,82,14.5,30.6,58.7,24.7
205607456,Yarra Ranges (S) - Seville,75.7,10.4,37,57.5,18.1
205650911,Bayside (C) - Brighton,70.5,8,40.1,55.8,14.3
205650912,Bayside (C) - South,72.6,6.5,47.7,60.9,10.7
205054601,Melbourne (C) - Inner,75.9,18.1,14.7,42.5,42.6
205905344,Mornington P'sula (S) - South,66.8,11.6,24.1,44.4,26.2
205054605,Melbourne (C) - S'bank-D'lands,81.9,11.4,39.7,63.3,18.1
205054608,Melbourne (C) - Remainder,65.6,6.3,41.5,53.8,11.6
205607453,Yarra Ranges (S) - Lilydale,66.9,6.6,41.7,54.6,12
240101375,Campaspe (S) - Rochester,62.6,8.7,29.9,45.8,18.9
205852171,Frankston (C) - East,63.5,8.4,31.8,47.4,17.7
205852174,Frankston (C) - West,67,6.5,42,54.8,11.9
205905341,Mornington P'sula (S) - East,81,9.7,44.5,64.9,15
215106261,S. Grampians (S) - Hamilton,55.4,6.6,30.2,42.3,15.5
215106264,S. Grampians (S) - Wannon,77.7,11.1,36.7,58.7,18.9
215106265,S. Grampians (S) Bal,50.4,6.7,24.7,36.6,18.2
225055814,N. Grampians (S) - Stawell,64.7,5.8,42.3,53.7,10.8
205055901,Port Phillip (C) - St Kilda,68.4,5.5,47.2,58.2,9.4
205905345,Mornington P'sula (S) - West,74.3,8.7,41.3,58.8,14.8
210052751,Bellarine - Inner,64.4,10.5,25.4,44,23.9
210052752,Corio - Inner,63.9,7.8,34,48.8,16.1
205055902,Port Phillip (C) - West,67.6,7.7,38.4,53.3,14.4
210106493,Surf Coast (S) - East,57.1,5.5,35.7,46.2,12
210106495,Surf Coast (S) - West,64.4,8.5,32.2,48.1,17.7
205301892,Darebin (C) - Preston,72.1,6.7,46.5,60,11.1
225056890,West Wimmera (S),56.9,5,37.4,47,10.7
205056351,Stonnington (C) - Prahran,69.2,8,38.8,54.4,14.7
205057351,Yarra (C) - North,58.2,5.9,35.5,46.7,12.7
205057352,Yarra (C) - Richmond,78.9,7.4,50.7,66.2,11.1
205101181,Brimbank (C) - Keilor,67.2,4.8,48.6,58.2,8.2
205101182,Brimbank (C) - Sunshine,73.6,5.7,51.7,63.4,9
205103111,Hobsons Bay (C) - Altona,75.2,5.5,53.9,65.3,8.4
205103112,Hobsons Bay (C) - Williamstown,69.5,7.9,39.5,54.9,14.3
205104330,Maribyrnong (C),56.2,4.9,37.1,46.5,10.6
205105063,Moonee Valley (C) - Essendon,61.6,6.3,37.4,49.4,12.8
205105065,Moonee Valley (C) - West,86.7,7.8,56.5,74.4,10.5
225102980,Hindmarsh (S),52.4,6.1,29,40.2,15.2
225107631,Yarriambiack (S) - North,null,null,null,null,null
225107632,Yarriambiack (S) - South,59.4,6.5,34.4,46.7,14
230054781,Mildura (RC) - Pt A,57.4,3.8,42.7,50.1,7.5
230101271,Buloke (S) - North,64.8,8.6,32.3,48.4,17.8
230101272,Buloke (S) - South,62.5,8.5,30.6,46.2,18.3
230104782,Mildura (RC) - Pt B,67.4,12,23.5,44.3,27.1
230152250,Gannawarra (S),62.7,5.3,42.1,52.5,10.1
240052831,Gr. Shepparton (C) - Pt A,69.4,5.3,49,59.6,8.9
255053815,Latrobe (C) - Traralgon,59.7,7.8,30.1,44.4,17.5
205204651,Melton (S) - East,58,5.8,35.7,46.7,12.4
205204654,Melton (S) Bal,63.5,6.9,37.3,50.4,13.6
205207261,Wyndham (C) - North,65.2,6,42.2,53.9,11.1
205207264,Wyndham (C) - South,70.3,10.4,31.6,51.2,20.4
205207267,Wyndham (C) - West,54,8.9,20.4,35.4,25.1
210106080,Queenscliffe (B),58.1,9.1,23.8,39.7,22.9
205255251,Moreland (C) - Brunswick,73.1,7.8,43.4,59.1,13.2
205255252,Moreland (C) - Coburg,63.9,6.2,39.9,52,12
205255253,Moreland (C) - North,68.7,10.4,30.1,49.3,21.1
205300661,Banyule (C) - Heidelberg,63.4,6.4,38.8,51.2,12.5
205300662,Banyule (C) - North,64.1,7,37.2,50.7,13.9
205301891,Darebin (C) - Northcote,66.9,7.1,39.9,53.7,13.2
205451111,Boroondara (C) - Camberwell N.,92.4,6,68.6,83.8,7.1
205451112,Boroondara (C) - Camberwell S.,67.1,8.1,36.5,52,15.5
205451113,Boroondara (C) - Hawthorn,81.6,11,40.8,63.6,17.3
205451114,Boroondara (C) - Kew,79.8,10.3,41.4,62.6,16.4
205504211,Manningham (C) - East,79.9,12.9,33.1,58.4,22.1
205504214,Manningham (C) - West,73.1,5.4,52.2,63.3,8.5
205504971,Monash (C) - South-West,76.9,9.8,40.2,59.9,16.3
205504974,Monash (C) - Waverley East,63.5,7.4,35.3,49.3,15
235105431,Mount Alexander (S) - C'maine,49.3,6.9,22.7,34.8,19.9
235105434,Mount Alexander (S) Bal,53.7,6.3,29.5,41.1,15.3
235204131,Macedon Ranges (S) - Kyneton,71.3,8.5,39.2,55.8,15.2
235204134,Macedon Ranges (S) - Romsey,73.6,7.5,45,60.1,12.4
235204135,Macedon Ranges (S) Bal,62.5,6.6,37,49.7,13.3
205504975,Monash (C) - Waverley West,76.1,7.3,48.3,63.3,11.5
205506981,Whitehorse (C) - Box Hill,78.3,8.3,46.8,64,13
205506984,Whitehorse (C) - Nunawading E.,70.4,9.2,35.9,53.6,17.1
205506985,Whitehorse (C) - Nunawading W.,69.1,9.9,32.2,50.7,19.5
205553672,Knox (C) - North-East,61.5,7.4,33.2,47.1,15.7
205553673,Knox (C) - North-West,69.9,9.6,34,52.2,18.3
205553674,Knox (C) - South,72.9,9.4,37.6,56,16.8
205554411,Maroondah (C) - Croydon,70,6.1,46.4,58.7,10.4
205554412,Maroondah (C) - Ringwood,60.9,6.9,34.4,47.5,14.6
205607451,Yarra Ranges (S) - Central,68.6,13.6,19.7,42.2,32.2
205607452,Yarra Ranges (S) - Dandenongs,70.2,9.5,34.5,52.7,18.1
205652311,Glen Eira (C) - Caulfield,68.2,5.8,45.8,57.4,10.2
240101371,Campaspe (S) - Echuca,66.6,9.4,31.3,48.8,19.3
240101374,Campaspe (S) - Kyabram,59,7.7,29.7,43.8,17.6
205652314,Glen Eira (C) - South,66.7,7.1,39.6,53.4,13.3
205653431,Kingston (C) - North,62,6,39,50.6,11.8
205653434,Kingston (C) - South,59.4,7.4,31,44.7,16.6
205656352,Stonnington (C) - Malvern,61.3,7.1,34.3,47.7,14.8
205752671,Gr. Dandenong (C) - Dandenong,82.8,8.5,50.6,68.9,12.3
205752674,Gr. Dandenong (C) Bal,79.6,5.7,57.6,69.7,8.2
205801452,Cardinia (S) - North,73.2,7.9,43.3,59.1,13.3
205801453,Cardinia (S) - Pakenham,62,7.2,34.4,48.1,15.1
205801454,Cardinia (S) - South,95.4,8.5,60.7,85,9.9
205801612,Casey (C) - Berwick,62.1,5.2,42.1,52.2,9.9
240101376,Campaspe (S) - South,89.5,16.8,31.1,66.2,25.3
240102834,Gr. Shepparton (C) - Pt B East,null,null,null,null,null
