sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
205353271,Hume (C) - Broadmeadows,null,null,null,null,100.8
205353274,Hume (C) - Craigieburn,25.2,4.6,6.5,13.3,35
205353275,Hume (C) - Sunbury,15.9,3.1,2.3,6.3,49.5
205405713,Nillumbik (S) - South,20.4,3.4,6.9,12.1,27.8
205405715,Nillumbik (S) - South-West,27.7,4.7,9,16.3,28.9
205405718,Nillumbik (S) Bal,44,7.5,15,27.1,27.8
205407071,Whittlesea (C) - North,32.7,5.6,10.6,19.4,29
205407075,Whittlesea (C) - South-East,34.3,6.7,7.8,17.3,38.4
205407076,Whittlesea (C) - South-West,29.2,5.2,8.6,16.5,31.4
205607454,Yarra Ranges (S) - North,null,null,null,null,77
205607456,Yarra Ranges (S) - Seville,null,null,null,null,57.7
205650911,Bayside (C) - Brighton,32.2,6.4,6.6,15.5,41
205650912,Bayside (C) - South,24.5,4.4,6.7,13.3,33.2
205054601,Melbourne (C) - Inner,null,null,null,null,94.1
205905344,Mornington P'sula (S) - South,33.6,6.7,6.7,16,42
205054605,Melbourne (C) - S'bank-D'lands,null,null,null,null,97.9
205054608,Melbourne (C) - Remainder,null,null,null,null,61.1
205852171,Frankston (C) - East,37.4,7.7,6.8,17.2,44.5
205852174,Frankston (C) - West,38.7,6,15.5,25.4,23.6
205905341,Mornington P'sula (S) - East,null,null,null,null,54
215106261,S. Grampians (S) - Hamilton,null,null,null,null,57.6
215106264,S. Grampians (S) - Wannon,null,0,null,0,null
215106265,S. Grampians (S) Bal,null,null,null,null,55
205055901,Port Phillip (C) - St Kilda,null,null,null,null,58.4
205905345,Mornington P'sula (S) - West,28.9,5.5,6.8,14.6,37.5
210052751,Bellarine - Inner,null,null,null,null,73
210052752,Corio - Inner,30.1,5.7,7.4,15.7,36.3
205055902,Port Phillip (C) - West,null,null,null,null,69
210106493,Surf Coast (S) - East,22.1,3.7,7.3,13,28.6
210106495,Surf Coast (S) - West,43.2,8.2,11.5,23.9,34.3
205301892,Darebin (C) - Preston,32.9,5.9,9.8,18.7,31.3
205056351,Stonnington (C) - Prahran,null,null,null,null,64.2
205057351,Yarra (C) - North,8.8,1.7,1.7,4,42
205057352,Yarra (C) - Richmond,null,null,null,null,87.2
205101181,Brimbank (C) - Keilor,30.1,4.4,12.6,19.9,22.2
205101182,Brimbank (C) - Sunshine,25.2,4.8,5.6,12.4,38.8
205103111,Hobsons Bay (C) - Altona,28.5,4.9,8.9,16.5,30
205103112,Hobsons Bay (C) - Williamstown,19.8,3.8,3.9,9.1,42
205104330,Maribyrnong (C),20.5,3.5,6.5,11.8,29.6
205105063,Moonee Valley (C) - Essendon,11,2,2.4,5.3,38.5
205105065,Moonee Valley (C) - West,11.5,2.2,1.7,4.6,48.6
225102980,Hindmarsh (S),19.7,3.9,3,8,48.8
225107631,Yarriambiack (S) - North,null,null,null,null,null
225107632,Yarriambiack (S) - South,null,null,null,null,80.9
230054781,Mildura (RC) - Pt A,null,null,null,null,64.4
230101271,Buloke (S) - North,null,0,null,0,null
230101272,Buloke (S) - South,null,null,null,null,100.3
