sla_code06, sla_name06, ci_high, se, ci_low, estimate, rse
"205353271","Hume (C) - Broadmeadows",39.9,5.9,16.9,26.8,22.1
"205353274","Hume (C) - Craigieburn",44.1,5.5,22.7,32.5,17.0
"205353275","Hume (C) - Sunbury",47.1,6.2,23.1,34.1,18.3
"205405713","Nillumbik (S) - South",41.5,5.1,21.8,30.8,16.5
"205405715","Nillumbik (S) - South-West",52.0,6.5,27.0,38.8,16.8
"205405718","Nillumbik (S) Bal",38.7,6.0,15.2,25.2,24.0
"205407071","Whittlesea (C) - North",39.9,5.3,19.2,28.4,18.7
"205407075","Whittlesea (C) - South-East",42.4,5.9,19.5,29.7,19.9
"205407076","Whittlesea (C) - South-West",40.7,5.5,19.5,29.0,18.9
"205607454","Yarra Ranges (S) - North",45.4,9.1,10.5,23.8,38.1
"205607456","Yarra Ranges (S) - Seville",41.7,7.8,11.5,23.4,33.3
"205650911","Bayside (C) - Brighton",48.8,5.9,26.0,36.7,16.1
"205650912","Bayside (C) - South",52.1,5.1,32.3,41.9,12.2
"205054601","Melbourne (C) - Inner",84.2,16.1,28.2,59.1,27.2
"205905344","Mornington P'sula (S) - South",33.1,5.4,12.0,20.6,26.0
"205054605","Melbourne (C) - S'bank-D'lands",75.6,8.8,42.2,60.1,14.7
"205054608","Melbourne (C) - Remainder",59.5,5.1,39.8,49.6,10.2
"205607453","Yarra Ranges (S) - Lilydale",37.2,4.9,18.1,26.6,18.4
"240101375","Campaspe (S) - Rochester",30.6,5.3,9.7,17.9,29.5
"205852171","Frankston (C) - East",49.2,6.7,23.4,35.2,19.1
"205852174","Frankston (C) - West",42.4,4.7,24.1,32.6,14.4
"205905341","Mornington P'sula (S) - East",34.8,6.6,8.5,18.3,36.3
"215106261","S. Grampians (S) - Hamilton",29.0,3.8,14.0,20.5,18.7
"215106264","S. Grampians (S) - Wannon",50.0,9.1,15.4,29.9,30.4
"215106265","S. Grampians (S) Bal",37.5,5.6,15.8,25.1,22.1
"225055814","N. Grampians (S) - Stawell",36.5,4.1,20.4,27.7,14.9
"205055901","Port Phillip (C) - St Kilda",55.0,4.9,36.1,45.4,10.7
"205905345","Mornington P'sula (S) - West",40.7,6.2,16.6,27.0,23.1
"210052751","Bellarine - Inner",38.2,6.3,13.5,23.7,26.7
"210052752","Corio - Inner",56.3,6.2,32.6,44.1,14.0
"205055902","Port Phillip (C) - West",55.5,6.0,32.5,43.6,13.7
"210106493","Surf Coast (S) - East",36.9,3.8,22.0,28.9,13.2
"210106495","Surf Coast (S) - West",37.3,5.3,16.8,25.7,20.5
"205301892","Darebin (C) - Preston",42.4,4.7,24.2,32.6,14.4
"225056890","West Wimmera (S)",30.0,3.8,15.2,21.7,17.4
"255053814","Latrobe (C) - Morwell",50.4,6.6,24.9,36.7,18.0
"205056351","Stonnington (C) - Prahran",48.8,6.1,25.4,36.3,16.8
"205057351","Yarra (C) - North",55.4,5.0,35.9,45.5,11.0
"205057352","Yarra (C) - Richmond",53.2,7.1,26.1,38.8,18.2
"205101181","Brimbank (C) - Keilor",31.8,3.6,17.7,24.0,15.0
"205101182","Brimbank (C) - Sunshine",34.5,4.0,19.0,26.0,15.3
"205103111","Hobsons Bay (C) - Altona",52.1,4.6,34.3,43.0,10.7
"205103112","Hobsons Bay (C) - Williamstown",54.0,6.6,28.7,40.7,16.2
"205104330","Maribyrnong (C)",45.9,3.8,31.0,38.2,10.0
"205105063","Moonee Valley (C) - Essendon",45.8,5.1,26.2,35.4,14.3
"205105065","Moonee Valley (C) - West",34.7,6.0,11.3,20.7,28.9
"225102980","Hindmarsh (S)",29.5,3.7,14.9,21.3,17.6
"225107631","Yarriambiack (S) - North",null,null,null,null,null
"225107632","Yarriambiack (S) - South",33.6,4.1,17.4,24.6,16.8
"230054781","Mildura (RC) - Pt A",31.8,2.6,21.5,26.3,10.0
"230101271","Buloke (S) - North",26.1,3.8,11.2,17.4,21.8
"230101272","Buloke (S) - South",24.9,4.2,8.0,14.5,29.3
"230104782","Mildura (RC) - Pt B",null,null,null,null,61.7
"230152250","Gannawarra (S)",27.8,3.1,15.6,21.1,14.8
"240052831","Gr. Shepparton (C) - Pt A",36.9,4.2,20.4,27.9,15.2
"255053815","Latrobe (C) - Traralgon",42.1,6.1,18.5,28.9,21.1
"205204651","Melton (S) - East",45.2,5.1,25.6,34.8,14.5
"205204654","Melton (S) Bal",32.9,4.3,16.0,23.4,18.5
"205207261","Wyndham (C) - North",40.6,4.6,22.9,31.1,14.6
"205207264","Wyndham (C) - South",68.8,9.2,34.1,51.7,17.9
"205207267","Wyndham (C) - West",40.3,7.0,13.0,24.1,29.1
"210106080","Queenscliffe (B)",32.0,4.7,13.5,21.3,22.2
"205255251","Moreland (C) - Brunswick",59.6,7.1,32.6,45.8,15.4
"205255252","Moreland (C) - Coburg",51.9,5.0,32.4,41.8,12.0
"205255253","Moreland (C) - North",40.5,6.7,14.6,25.4,26.3
"205300661","Banyule (C) - Heidelberg",47.9,5.0,28.7,37.8,13.1
"205300662","Banyule (C) - North",41.9,5.2,21.7,30.9,16.8
"205301891","Darebin (C) - Northcote",63.8,6.1,40.2,52.1,11.8
"205451111","Boroondara (C) - Camberwell N.",47.0,7.3,18.8,31.1,23.6
"205451112","Boroondara (C) - Camberwell S.",57.3,6.6,32.0,44.3,14.9
"205451113","Boroondara (C) - Hawthorn",69.5,9.1,35.3,52.7,17.2
"205451114","Boroondara (C) - Kew",79.3,8.0,48.6,65.5,12.3
"205504211","Manningham (C) - East",30.6,5.9,6.8,15.2,38.8
"205504214","Manningham (C) - West",42.5,4.1,26.6,34.1,12.0
"205504971","Monash (C) - South-West",49.1,8.3,17.4,31.1,26.7
"205504974","Monash (C) - Waverley East",48.0,5.7,26.1,36.3,15.6
"235105431","Mount Alexander (S) - C'maine",32.0,4.8,13.2,21.1,22.8
"235105434","Mount Alexander (S) Bal",33.3,4.1,17.3,24.4,16.8
"235204131","Macedon Ranges (S) - Kyneton",28.4,4.8,9.4,16.8,28.5
"235204134","Macedon Ranges (S) - Romsey",48.8,6.5,23.7,35.2,18.6
"235204135","Macedon Ranges (S) Bal",31.0,4.4,13.9,21.2,20.6
"205504975","Monash (C) - Waverley West",42.2,5.4,21.1,30.7,17.7
"205506981","Whitehorse (C) - Box Hill",61.4,7.5,32.8,46.9,16.0
"205506984","Whitehorse (C) - Nunawading E.",54.7,7.1,27.5,40.4,17.7
"205506985","Whitehorse (C) - Nunawading W.",53.1,7.5,24.5,37.7,19.8
"205553672","Knox (C) - North-East",52.8,6.1,29.2,40.5,15.1
"205553673","Knox (C) - North-West",59.4,7.6,30.5,44.4,17.1
"205553674","Knox (C) - South",47.2,6.8,21.2,32.9,20.5
"205554411","Maroondah (C) - Croydon",45.5,5.2,25.3,34.7,15.0
"205554412","Maroondah (C) - Ringwood",43.7,5.3,23.1,32.6,16.3
"205607451","Yarra Ranges (S) - Central",61.7,12.2,17.1,36.5,33.3
"205607452","Yarra Ranges (S) - Dandenongs",45.3,7.4,16.7,28.9,25.7
"205652311","Glen Eira (C) - Caulfield",55.1,5.0,35.6,45.2,11.1
"240101371","Campaspe (S) - Echuca",29.5,5.0,9.8,17.5,28.4
"240101374","Campaspe (S) - Kyabram",26.9,3.7,12.3,18.5,20.2
"205652314","Glen Eira (C) - South",47.6,5.6,26.1,36.1,15.4
"205653431","Kingston (C) - North",44.2,4.4,27.1,35.2,12.5
"205653434","Kingston (C) - South",37.4,5.4,16.4,25.5,21.2
"205656352","Stonnington (C) - Malvern",45.9,5.4,24.9,34.7,15.6
"205752671","Gr. Dandenong (C) - Dandenong",40.4,5.9,17.7,27.6,21.2
"205752674","Gr. Dandenong (C) Bal",35.1,4.3,18.2,25.8,16.7
"205801452","Cardinia (S) - North",36.4,5.3,16.0,24.8,21.2
"205801453","Cardinia (S) - Pakenham",53.4,6.0,30.4,41.4,14.4
"205801454","Cardinia (S) - South",40.5,8.6,6.3,17.6,48.8
"205801612","Casey (C) - Berwick",37.7,3.8,23.0,29.8,12.7
"240101376","Campaspe (S) - South",49.2,10.5,9.1,23.8,44.0
"240102834","Gr. Shepparton (C) - Pt B East",null,null,null,null,null
"240102835","Gr. Shepparton (C) - Pt B West",null,null,null,null,59.5
"240104901","Moira (S) - East",41.9,7.1,14.5,25.9,27.4
"240104904","Moira (S) - West",30.0,3.6,15.8,22.1,16.4
"240151011","Benalla (RC) - Benalla",31.4,4.1,15.5,22.5,18.1
"240151014","Benalla (RC) Bal",30.3,4.6,12.2,19.8,23.3
"240154250","Mansfield (S)",25.4,2.8,14.6,19.5,14.1
"240156430","Strathbogie (S)",31.6,4.3,14.9,22.1,19.2
"240204851","Mitchell (S) - North",35.9,5.9,12.7,22.2,26.7
"240204854","Mitchell (S) - South",36.3,4.5,18.6,26.6,17.1
"240205621","Murrindindi (S) - East",30.5,3.7,16.0,22.4,16.5
"240205622","Murrindindi (S) - West",30.3,4.8,11.6,19.3,24.6
"245053351","Indigo (S) - Pt A",32.8,3.4,19.7,25.7,13.0
"245056671","Towong (S) - Pt A",23.4,4.3,5.7,12.0,36.2
"245057170","Wodonga (RC)",37.0,3.6,23.1,29.6,12.1
"245103352","Indigo (S) - Pt B",35.2,5.9,12.3,21.6,27.1
"245106701","Wangaratta (RC) - Central",33.8,4.1,17.7,24.9,16.5
"245106704","Wangaratta (RC) - North",52.7,8.7,19.6,34.3,25.5
"245106705","Wangaratta (RC) - South",24.6,4.6,6.1,12.7,35.8
"245150111","Alpine (S) - East",29.4,4.2,13.0,20.0,20.9
"245150112","Alpine (S) - West",30.9,4.5,13.2,20.7,21.9
"205801613","Casey (C) - Cranbourne",40.0,4.6,22.0,30.3,15.3
"245156672","Towong (S) - Pt B",26.3,3.6,12.0,18.0,20.2
"205801616","Casey (C) - Hallam",54.2,5.6,32.5,43.0,13.1
"205801618","Casey (C) - South",44.0,7.9,13.8,26.2,30.0
"210052753","Geelong",45.2,8.8,11.4,24.6,35.7
"210052754","Geelong West",29.7,6.0,5.1,13.0,45.9
"210052755","Newtown",46.5,8.9,12.5,26.1,34.0
"210052756","South Barwon - Inner",34.5,4.8,15.6,23.8,20.3
"210102757","Greater Geelong (C) - Pt B",43.5,6.0,20.4,30.7,19.5
"210151751","Colac-Otway (S) - Colac",27.0,3.8,12.2,18.5,20.4
"210151754","Colac-Otway (S) - North",52.2,7.8,22.4,36.0,21.7
"210151755","Colac-Otway (S) - South",50.1,10.4,10.7,25.7,40.3
"210152491","Golden Plains (S) - North-West",33.8,3.8,18.8,25.5,15.0
"210152492","Golden Plains (S) - South-East",34.1,4.5,16.4,24.2,18.7
"210152758","Greater Geelong (C) - Pt C",null,null,null,null,null
"215016730","Warrnambool (C)",35.1,3.3,22.1,28.2,11.8
"215051831","Corangamite (S) - North",30.2,4.7,11.9,19.5,24.0
"215051832","Corangamite (S) - South",20.6,3.6,5.8,11.3,32.3
"215055491","Moyne (S) - North-East",null,null,null,null,50.0
"215055493","Moyne (S) - North-West",38.6,7.8,7.8,18.8,41.4
"215055496","Moyne (S) - South",31.5,3.8,16.5,23.2,16.6
"255053818","Latrobe (C) Bal",null,null,null,null,null
"255100834","Baw Baw (S) - Pt B East",58.9,11.6,15.9,34.2,34.0
"255100835","Baw Baw (S) - Pt B West",30.6,3.7,15.9,22.4,16.7
"255107458","Yarra Ranges (S) - Pt B",null,null,null,null,null
"255200741","Bass Coast (S) - Phillip Is.",38.4,6.7,12.1,22.6,29.8
"255200744","Bass Coast (S) Bal",29.1,3.7,14.5,20.9,17.9
"255206171","South Gippsland (S) - Central",47.9,6.0,24.6,35.4,17.1
"255206174","South Gippsland (S) - East",20.1,3.8,4.6,9.9,37.9
"255206175","South Gippsland (S) - West",34.6,5.9,11.2,20.6,28.9
"215102411","Glenelg (S) - Heywood",26.6,4.6,8.4,15.4,29.8
"215102412","Glenelg (S) - North",30.4,6.1,5.8,14.1,43.1
"215102413","Glenelg (S) - Portland",34.4,4.7,16.2,24.1,19.3
"220050571","Ballarat (C) - Central",32.5,2.3,23.4,27.7,8.4
"220050572","Ballarat (C) - Inner North",36.1,3.1,23.8,29.5,10.6
"220050573","Ballarat (C) - North",null,null,null,null,null
"220050574","Ballarat (C) - South",35.5,2.9,24.1,29.5,9.9
"220102911","Hepburn (S) - East",30.4,4.0,14.8,21.6,18.5
"220102912","Hepburn (S) - West",33.3,4.4,16.2,23.7,18.4
"220105151","Moorabool (S) - Bacchus Marsh",38.0,4.0,22.4,29.6,13.5
"220105154","Moorabool (S) - Ballan",66.4,7.4,38.2,52.5,14.1
"220105155","Moorabool (S) - West",26.7,5.0,6.5,13.7,36.6
"220150260","Ararat (RC)",22.4,3.1,10.1,15.2,20.4
"220155991","Pyrenees (S) - North",35.4,6.1,11.5,21.1,28.9
"220155994","Pyrenees (S) - South",28.7,4.6,10.5,17.9,25.7
"225053191","Horsham (RC) - Central",41.0,4.4,24.0,31.9,13.7
"225053194","Horsham (RC) Bal",29.0,5.0,9.2,16.9,29.7
"225055811","N. Grampians (S) - St Arnaud",26.1,4.4,8.5,15.3,28.9
"230156611","Swan Hill (RC) - Central",36.5,4.9,17.4,25.8,19.0
